model_name,release_year,theme,subtheme,total_pieces,total_mini_figures,availability
Boulder Blaster,2015,Ninjago,,236,3,Retail
Titanium Dragon,2015,Ninjago,,360,3,Retail
Enter the Serpent,2015,Ninjago,,529,5,Retail
Ninja DB X,2015,Ninjago,,756,7,Retail
Temple of Airjitzu,2015,Ninjago,,2028,13,LEGO exclusive
Jungle Trap,2015,Ninjago,,58,2,Retail
Lava Falls,2015,Ninjago,,94,2,Retail
ElectroMech,2015,Ninjago,,153,2,Retail
Jungle Raider ,2015,Ninjago,,188,2,Retail
Dojo Showdown,2015,Ninjago,,215,4,Retail
Protector of Jungle,2015,Bionicle,,64,NA,Retail
Protector of Stone,2015,Bionicle,,73,NA,Retail
Protector of Water,2015,Bionicle,,71,NA,Retail
Protector of Earth,2015,Bionicle,,66,NA,Retail
Protector of Ice,2015,Bionicle,,68,NA,Retail
Protector of Fire,2015,Bionicle,,69,NA,Retail
Lewa - Master of Jungle,2015,Bionicle,,85,NA,Retail
Pohatu - Master of Stone,2015,Bionicle,,66,NA,Retail
Gali - Master of Water,2015,Bionicle,,87,NA,Retail
Tahu - Master of Fire,2015,Bionicle,,89,NA,Retail
Kopaka - Master of Ice,2015,Bionicle,,97,NA,Retail
Onua - Master of Earth,2015,Bionicle,,108,NA,Retail
Lord of Skull Spiders,2015,Bionicle,,145,NA,Retail
Skull Warrior,2015,Bionicle,,NA,NA,Not specified
Skull Slicer,2015,Bionicle,,NA,NA,Not specified
Skull Basher,2015,Bionicle,,NA,NA,Not specified
Skull Scorpio,2015,Bionicle,,NA,NA,Not specified
Mask Maker vs. Skull Grinder,2015,Bionicle,,NA,NA,Not specified
Batman & Super Angry Kitty Attack,2015,The LEGO Movie,,115,3,Retail
Double-Decker Couch,2015,The LEGO Movie,,197,5,Retail
Bad Cop Car Chase,2015,The LEGO Movie,,292,4,Retail
LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7,NA,Retail
Classic King,2015,Collectable Minifigures,Series 13,9,1,Retail
Sheriff,2015,Collectable Minifigures,Series 13,8,1,Retail
Unicorn Girl,2015,Collectable Minifigures,Series 13,6,1,Retail
Snake Charmer,2015,Collectable Minifigures,Series 13,7,1,Retail
Goblin,2015,Collectable Minifigures,Series 13,7,1,Retail
Paleontologist,2015,Collectable Minifigures,Series 13,7,1,Retail
Alien Trooper,2015,Collectable Minifigures,Series 13,6,1,Retail
Egyptian Warrior,2015,Collectable Minifigures,Series 13,7,1,Retail
Carpenter,2015,Collectable Minifigures,Series 13,7,1,Retail
Evil Wizard,2015,Collectable Minifigures,Series 13,10,1,Retail
Fencer,2015,Collectable Minifigures,Series 13,6,1,Retail
Samurai,2015,Collectable Minifigures,Series 13,8,1,Retail
Disco Diva,2015,Collectable Minifigures,Series 13,8,1,Retail
Hot Dog Man,2015,Collectable Minifigures,Series 13,5,1,Retail
Lady Cyclops,2015,Collectable Minifigures,Series 13,6,1,Retail
Galaxy Trooper,2015,Collectable Minifigures,Series 13,8,1,Retail
LEGO Minifigures - Series 13 - Complete,2015,Collectable Minifigures,Series 13,115,16,Not specified
LEGO Minifigures - Series 13 - Sealed Box,2015,Collectable Minifigures,Series 13,7,NA,Not specified
LEGO Minifigures - The Simpsons Series 2 {Random bag},2015,Collectable Minifigures,The Simpsons series 2,NA,NA,Not specified
Marge,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Dr Hibbert,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Hans Moleman,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Bart,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Groundskeeper Willie,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Comic Book Guy,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Milhouse,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Edna Krabappel,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Homer,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Smithers,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Maggie,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Lisa,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Professor Frink,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Martin,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Selma,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
Patty,2015,Collectable Minifigures,The Simpsons series 2,NA,1,Retail
LEGO Minifigures - The Simpsons Series 2 - Complete,2015,Collectable Minifigures,The Simpsons series 2,0,16,Retail
LEGO Minifigures - The Simpsons Series 2 - Sealed Box,2015,Collectable Minifigures,The Simpsons series 2,NA,NA,Retail
LEGO Minifigures - Series 14 {Random bag},2015,Collectable Minifigures,Series 14,NA,NA,Not specified
Kwik-E-Mart,2015,The Simpsons,,2179,6,LEGO exclusive
Slave I,2015,Star Wars,Ultimate Collector Series,1996,4,Retail
ARC-170 Starfighter,2015,Star Wars,MicroFighters,95,1,Retail
Vulture Droid,2015,Star Wars,MicroFighters,77,1,Retail
Snowspeeder,2015,Star Wars,MicroFighters,97,1,Retail
AT-AT,2015,Star Wars,MicroFighters,88,1,Retail
Republic Gunship,2015,Star Wars,MicroFighters,105,1,Retail
Homing Spider Droid,2015,Star Wars,MicroFighters,102,1,Retail
Imperial Troop Transport,2015,Star Wars,Rebels,141,4,Retail
Shadow Troopers,2015,Star Wars,Expanded Universe,95,4,Retail
AAT,2015,Star Wars,Episode I,251,3,Retail
T-16 Skyhopper,2015,Star Wars,Episode IV-VI,247,2,Retail
TIE Advanced Prototype,2015,Star Wars,Rebels,355,3,Retail
AT-DP,2015,Star Wars,Rebels,500,4,Retail
Wookiee Gunship,2015,Star Wars,Rebels,570,4,Retail
Hailfire Droid,2015,Star Wars,Episode II,163,3,Retail
Battle Droid Troop Carrier,2015,Star Wars,Episode I,565,15,Retail
Anakin's Custom Jedi Starfighter,2015,Star Wars,The Clone Wars,370,3,Retail
Senate Commando Troopers,2015,Star Wars,Expanded Universe,106,4,Retail
Geonosis Troopers,2015,Star Wars,Expanded Universe,105,4,Retail
Ezra's Speeder Bike,2015,Star Wars,Rebels,253,3,Retail
Flash Speeder,2015,Star Wars,Episode I,312,5,Retail
Naboo Starfighter,2015,Star Wars,Episode I,442,9,Retail
Death Star Final Duel,2015,Star Wars,,724,5,Retail
 Imperial Shuttle Tydirium,2015,Star Wars,,937,5,Retail
TIE Fighter,2015,Star Wars,Ultimate Collector Series,1685,1,LEGO exclusive
Sith Infiltrator,2015,Star Wars,Episode I,NA,NA,Retail
Star Wars Advent Calendar,2015,Star Wars,Seasonal,292,NA,Retail - limited
Rey's Speeder,2015,Star Wars,Episode VII,193,NA,Retail
First Order Snowspeeder,2015,Star Wars,Episode VII,444,NA,Retail
First Order Special Forces TIE Fighter,2015,Star Wars,Episode VII,517,NA,Retail
Poe's X-Wing Fighter,2015,Star Wars,Episode VII,717,NA,Retail
First Order Transporter,2015,Star Wars,Episode VII,792,NA,Retail
Kylo Ren's Command Shuttle,2015,Star Wars,Episode VII,1004,NA,Retail
Millennium Falcon,2015,Star Wars,Episode VII,1332,NA,Retail
Imperial Assault Carrier,2015,Star Wars,Rebels,1216,6,Retail
Jango Fett,2015,Star Wars,Battle Figures,85,NA,Not specified
Clone Commander Cody,2015,Star Wars,Battle Figures,82,NA,Not specified
Obi-Wan Kenobi,2015,Star Wars,Battle Figures,83,NA,Not specified
Luke Skywalker,2015,Star Wars,Battle Figures,NA,NA,Not specified
Darth Vader,2015,Star Wars,Battle Figures,NA,NA,Not specified
General Grievous,2015,Star Wars,Battle Figures,186,NA,Not specified
LaFerrari,2015,Speed Champions,,164,1,Retail
Mummy Museum Mystery,2015,Scooby-Doo,,110,2,Retail
Mystery Plane Adventures,2015,Scooby-Doo,,128,2,Retail
The Mystery Machine,2015,Scooby-Doo,,301,3,Retail
Haunted Lighthouse,2015,Scooby-Doo,,437,4,Retail
Mystery Mansion,2015,Scooby-Doo,,860,6,Retail
458 Italia GT2,2015,Speed Champions,,153,1,Retail
McLaren P1,2015,Speed Champions,,168,1,Retail
Porsche 918 Spyder,2015,Speed Champions,,151,1,Retail
McLaren Mercedes Pit Stop,2015,Speed Champions,,332,3,Retail
Porsche 911 GT Finish Line,2015,Speed Champions,,551,4,Retail
F14 T & Scuderia Ferrari Truck,2015,Speed Champions,,884,6,Retail
Pteranodon Capture,2015,Jurassic World,,174,2,Retail
Dilophosaurus Ambush,2015,Jurassic World,,248,2,Retail
Raptor Rampage,2015,Jurassic World,,324,3,Retail
T-Rex Tracker,2015,Jurassic World,,520,3,Retail
Indominus Rex Breakout,2015,Jurassic World,,1156,4,Retail
Raptor Escape,2015,Jurassic World,,394,2,Retail - limited
Green Lantern vs. Sinestro,2015,DC Comics Super Heroes,Justice League,174,3,Retail
Gorilla Grodd Goes Bananas,2015,DC Comics Super Heroes,Justice League,347,6,Retail
Black Manta Deep Sea Strike,2015,DC Comics Super Heroes,Justice League,387,4,Retail
Darkseid Invasion,2015,DC Comics Super Heroes,Justice League,545,5,Retail
Iron Man vs. Ultron,2015,Marvel Super Heroes,Age of Ultron,90,4,Retail
Avengers Hydra Showdown,2015,Marvel Super Heroes,Age of Ultron,220,3,Retail
The Hulk Buster Smash,2015,Marvel Super Heroes,Age of Ultron,248,4,Retail
The Avengers Quinjet City Chase,2015,Marvel Super Heroes,Age of Ultron,722,5,Retail
Batboat Harbor Pursuit,2015,DC Comics Super Heroes,,264,3,Retail
Jokerland,2015,DC Comics Super Heroes,,1037,8,Retail
Carnage's Shield Sky Attack,2015,Marvel Super Heroes,,97,3,Retail
Rhino and Sandman Supervillain Team-up,2015,Marvel Super Heroes,,386,4,Retail
Attack on Avengers Tower,2015,Marvel Super Heroes,Age of Ultron,511,5,Retail
Ant-Man Final Battle,2015,Marvel Super Heroes,,183,3,Retail
Brainiac Attack,2015,DC Comics Super Heroes,Justice League,179,4,Retail
The Hydra Fortress Smash,2015,Marvel Super Heroes,Age of Ultron,405,5,Retail
SHIELD Helicarrier,2015,Marvel Super Heroes,Avengers,2996,17,LEGO exclusive
Battle Pack,2015,Ninjago,,NA,NA,Not specified
Holiday Bauble White Bricks,2015,Seasonal,Christmas,NA,NA,Not specified
Party Set,2015,Friends,,72,NA,LEGO exclusive
Mini-doll Carry Case,2015,Friends,,2,NA,LEGO exclusive
VIP Cardboard Name Plate,2015,Friends,Miscellaneous,52,NA,LEGO exclusive
Throne of Ultron,2015,Marvel Super Heroes,Age of Ultron,203,4,Promotional
Maersk Line Triple-E,2014,Advanced Models,Maersk,1518,NA,LEGO exclusive
Mini Cooper MK VII,2014,Advanced Models,Vehicles,1077,NA,Retail - limited
Parisian Restaurant,2014,Advanced Models,Modular Buildings,2469,5,Retail - limited
Fairground Mixer,2014,Advanced Models,Fairground,1746,12,Retail - limited
Santa's Workshop,2014,Advanced Models,Winter Village,883,6,Retail - limited
Baby Calf,2014,Duplo,,9,1,Retail
Farm Animals,2014,Duplo,,12,NA,Retail
Farm Tractor,2014,Duplo,,29,1,Retail
Big Farm,2014,Duplo,,121,2,Retail
Peter Pan's Visit,2014,Duplo,Jake and the Never Land Pirates,39,2,Retail
Ambulance,2014,Duplo,,14,1,Retail - limited
School Bus,2014,Duplo,,26,3,Retail - limited
Truck,2014,Duplo,,16,1,Retail - limited
My First Police Set,2014,Duplo,,39,2,Retail
Fire and Rescue Team,2014,Duplo,Planes,30,NA,Not specified
Beach Racing,2014,Duplo,Jake and the Never Land Pirates,37,1,Retail
Sleeping Beauty's Fairy Tale,2014,Duplo,Disney Princess,55,2,Retail
Superman Rescue,2014,Duplo,,19,1,Retail
The Joker Challenge,2014,Duplo,,40,2,Retail
Batcave Adventure,2014,Duplo,,59,2,Retail
My First Shop,2014,Duplo,,39,2,Retail
Creative Suitcase,2014,Duplo,,135,NA,Retail
Creative Picnic,2014,Duplo,,52,NA,Retail
